,Country (or dependency),Region,Year,Infant_deaths,Incidents_HIV,GDP_per_capita,Population_mln,Schooling,Economy_status_Developed,Life_expectancy,avg_vax_rate,ISO
152,Morocco,Africa,2015,20.2,0.03,2875.0,34.66,5.0,0,75.7,98.0,MAR
153,Gabon,Africa,2015,36.1,1.09,7385.0,1.95,8.1,0,64.9,75.75,GAB
154,Azerbaijan,Asia,2015,23.3,0.05,5500.0,9.65,10.7,0,72.3,97.0,AZE
155,Japan,Asia,2015,2.0,0.17,34961.0,127.14,12.5,1,83.8,92.75,JPN
156,North Macedonia,Rest of Europe,2015,10.0,0.08,4862.0,2.07,9.6,0,75.4,93.0,MKD
157,Nigeria,Africa,2015,79.3,0.58,2687.0,181.14,6.0,0,53.1,51.0,NGA
158,Russia,Rest of Europe,2015,6.6,0.08,9313.0,144.1,12.0,0,71.2,97.0,RUS
159,Bahrain,Middle East,2015,6.5,0.05,22634.0,1.37,9.3,0,76.8,98.25,BHR
160,Barbados,Central America and Caribbean,2015,13.0,0.28,16559.0,0.29,10.5,0,78.8,95.0,BRB
161,Equatorial Guinea,Africa,2015,67.6,4.2,11283.0,1.17,5.5,0,57.4,39.25,GNQ
162,Nicaragua,Central America and Caribbean,2015,16.6,0.11,2050.0,6.22,6.5,0,73.6,94.5,NIC
163,Thailand,Asia,2015,9.3,0.16,5840.0,68.71,7.6,0,76.1,98.0,THA
164,Madagascar,Africa,2015,41.3,0.24,467.0,24.23,6.1,0,65.5,67.5,MDG
165,Belgium,European Union,2015,3.3,0.08,41008.0,11.27,11.7,1,81.0,95.25,BEL
166,Ivory Coast,Africa,2015,65.7,0.63,1973.0,23.23,5.0,0,56.1,77.75,CIV
167,Saint Lucia,Central America and Caribbean,2015,19.5,0.4,10094.0,0.18,8.9,0,75.6,95.0,LCA
168,Turkmenistan,Asia,2015,36.4,0.08,6433.0,5.57,9.8,0,67.7,99.0,TKM
169,Lithuania,European Union,2015,4.0,0.09,14264.0,2.9,13.0,1,74.3,93.0,LTU
170,Senegal,Africa,2015,34.7,0.1,1219.0,14.58,2.9,0,66.7,79.25,SEN
171,Slovakia,European Union,2015,5.1,0.02,16342.0,5.42,12.5,1,76.6,96.25,SVK
